002		12
016		14
030		14
054		24
073		19
104		31
108		4
109		1
158		49
160		2
161		1
169		8
173		4
177		4
181		4
202		21
207		5
216		9
221		5
233		12
242		9
245		3
250		5
254		4
262		8
270		8
272		2
283		11
301		18
329		28
336		7
339		3
349		10
363		14
391		28
403		12
407		4
413		6
424		11
431		7
432		1
435		3
459		24
473		14
482		9
485		3
492		7
494		2
502		8
532		30
565		33
567		2
569		2
578		9
589		11
592		3
610		18
614		4
619		5
624		5
627		3
666		39
670		4
675		5
677		2
678		1
686		8
693		7
712		19
734		22
774		40
783		9
785		2
796		11
801		5
815		14
816		1
817		1
820		3
831		11
834		3
835		1
849		14
852		3
856		4
858		2
889		31
919		30
926		7
927		1
932		5
953		21
971		18
990		19
